,ZIP Code,earned_premium,earned_exposure,fire_smoke_claims,fire_smoke_losses,growth_exposure,growth_premium,growth_fire_smoke_claims,growth_fire_smoke_losses,ratio_losses_to_premium,new_policies,renewed_policies,company_nonrenewed,owner_nonrenewed,nonrenewed_policies,expiring_policies,pct_nonrenewed_policies,pct_nonrenewed_owner,pct_nonrenewed_company,ratio_new_to_nonrenewed,change_new_policies,change_renewed_policies,change_nonrenewed_owner,change_nonrenewed_company,market_units,fair_plan_units,total_units,pct_market,pct_fair_plan,exposure_22,Avg_Median_Income_2018_2021,Avg_Growth_Rate_2018_2021,Total_Growth_2018_2021,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021,State,CountyName,City,2018,2019,2020,2021,mean_2018_2021,percent_increase_2018_2021,housing_units,median_gross_rent,median_ownership_cost,median_home_value,Count_2022,Sum_1yr,Avg_3yr,Sum_3yr,Avg_5yr,Sum_5yr,Avg_10yr,Sum_10yr
0,90001,15005153,34015,126,4157573.0,0.2177799058335328,0.4604041156339429,0.2833333333333332,-0.3527039017981984,0.2770763483717893,3162,22127,1780,1073,2853,24980,0.1142113690952762,0.0429543634907926,0.0712570056044835,1.1083070452155626,0.3111782477341389,0.0206317327003833,0.0583756345177663,0.5181818181818181,6913,2104,9017,0.7666629699456582,0.2333370300543418,532891886,45674.5,0.1109191659109112,0.3708366864826977,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Florence-Graham,391110.8220747421,425921.59284618887,458321.9297598012,514897.92066288536,447563.0663359044,31.65,14010,1262.0,427.0,425200.0,0,0,0,0,0,0,0,0
1,90002,15336299,31620,95,3793822.0,0.0595966167859467,0.2661158291087737,-0.3571428571428572,-0.595781204538842,0.2473753282979159,3448,21908,2091,1022,3113,25021,0.1244154909875704,0.0408456896207186,0.0835698013668518,1.1076132348217154,0.1076555023923444,0.044131455399061,0.1326315789473684,0.4851063829787234,6534,1330,7864,0.8308748728382502,0.1691251271617497,391005676,40274.75,0.0928768432923299,0.3035583168596442,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,377161.4514895945,414621.3740777629,447795.939334389,511264.5617434679,437710.8316613036,35.56,13577,1287.0,465.0,411500.0,0,0,0,0,0,0,0,0
2,90003,20549601,40859,133,4313440.0,0.0696074463779845,0.3045148169681706,1.333333333333333,0.9901144215207992,0.2099038321960606,4525,26933,2667,1304,3971,30904,0.128494693243593,0.0421951850893088,0.0862995081542842,1.1395114580710148,0.1526861451460885,0.0579198033492087,0.2099173553719009,0.3742138364779874,8716,1934,10650,0.8184037558685446,0.1815962441314554,517188602,41944.25,0.0870374945260151,0.2822489657766077,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,401705.9741380552,440537.5289321094,476680.3434029143,538202.8757370786,464281.6805525394,33.98,18501,1293.0,555.0,430800.0,0,0,0,0,0,0,0,0
3,90004,39605615,40942,48,3316605.0,0.2086703332254933,0.3434162878057423,-0.0833333333333333,0.7257641120883049,0.0837407776649851,2182,15683,1704,434,2138,17821,0.1199708209415857,0.0243532910611076,0.095617529880478,1.0205799812909262,0.1578947368421053,-0.006382435537401,0.1974683544303797,0.0917431192660549,4710,495,5205,0.904899135446686,0.0951008645533141,191648836,51537.75,0.0408174148758266,0.1270254748328342,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,1158596.358642368,1220143.6349870807,1270541.1004210438,1397864.3755224135,1261786.3673932266,20.65,25100,1530.0,829.0,1148400.0,0,0,0,0,0,0,0,0
4,90005,13665743,22208,16,885674.0,0.3989154013015183,0.3831515654918678,-0.1428571428571429,10.78806290733085,0.0648097948278406,521,3357,384,125,509,3866,0.1316606311433005,0.0323331608898085,0.0993274702534919,1.0235756385068762,0.016,0.001199040767386,0.2045454545454545,-0.1212121212121212,996,100,1096,0.9087591240875912,0.0912408759124087,54169330,40237.75,0.085301341558891,0.2777888417878176,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,854210.3788824399,888009.692584509,903865.2739655809,976323.1356270028,905602.1202648832,14.3,18128,1413.0,1123.0,964700.0,0,0,0,0,0,0,0,0
5,90006,10671112,22738,41,3312606.0,0.2716123843988742,0.3489097222584114,0.1666666666666667,18.936829456698995,0.3104274418636033,1224,6790,750,339,1089,7879,0.1382155095824343,0.0430257646909506,0.0951897448914836,1.1239669421487604,0.3133802816901407,0.0438489646772228,0.1988950276243093,0.9014084507042252,2402,836,3238,0.7418159357628166,0.2581840642371834,235567228,37731.5,0.0512963258366604,0.1597526192426082,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,665783.8497344899,694231.9983496482,730308.8450386765,792117.2557614987,720610.4872210784,18.98,20912,1234.0,664.0,716900.0,0,0,0,0,0,0,0,0
6,90007,10749071,31347,33,1399265.0,0.2831164991129509,0.3985644678129278,-0.1428571428571429,0.4733003199353329,0.1301754356260183,1143,7147,723,268,991,8138,0.1217743917424428,0.0329319243057262,0.0888424674367166,1.153380423814329,0.3811475409836065,0.0549768518518518,0.7593984962406015,0.7454545454545454,2369,728,3097,0.7649338069099129,0.2350661930900872,199358232,29096.0,0.0961946588680729,0.3169745500673908,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,658766.2715507809,724288.2028093118,797306.9497704374,877025.2747997902,764346.6747325801,33.13,13513,1252.0,676.0,717300.0,0,0,0,0,0,0,0,0
7,90008,26759003,29933,83,6279337.0,0.2879986811737554,0.5302440387599885,-0.3933333333333334,-0.5717398470207459,0.2346625918760874,2012,17624,1528,375,1903,19527,0.0974548061658216,0.0192041788293132,0.0782506273365084,1.0572779821334737,0.1169102296450939,0.013516609392898,0.1005586592178771,0.1443298969072164,4774,244,5018,0.9513750498206456,0.0486249501793543,116575448,44970.0,0.0737598132244157,0.2373518430350565,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,741284.0581686035,820256.1224370071,891495.8913269881,1028827.9079239418,870465.9949641352,38.79,15900,1377.0,525.0,781600.0,0,0,0,0,0,0,0,0
8,90011,24815880,49843,134,5187047.0,0.0525147928994083,0.2763099313781885,1.0,5.142057787355951,0.2090212799223723,5015,30290,2892,1550,4442,34732,0.1278935851664171,0.0446274329148911,0.0832661522515259,1.128995947771274,0.2742214532871971,0.0393220338983051,0.2758064516129033,0.5701219512195121,10249,3336,13585,0.7544350386455649,0.245564961354435,834345596,42409.0,0.0846372039734198,0.2752611354657141,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,406562.6000737082,442737.9214051831,479564.361130428,542649.8753852563,467878.6894986439,33.47,25531,1307.0,605.0,452100.0,0,0,0,0,0,0,0,0
9,90012,8739469,33407,18,485369.0,0.1616948257655754,0.3280599389648502,-0.5,-0.9060369712822042,0.0555375847205362,296,2660,225,54,279,2939,0.094930248383804,0.0183735964613814,0.0765566519224225,1.060931899641577,0.6842105263157894,0.0303951367781154,0.0517241379310344,0.1764705882352941,827,87,914,0.9048140043763676,0.0951859956236323,25670000,48121.25,0.0803980545289732,0.2602720283855707,48.55,-2.566666666666665,-7.699999999999996,CA,Los Angeles County,Los Angeles,575078.8886457849,599341.3401828286,610031.3620777839,648119.1842336761,608142.6937850184,12.7,15751,1859.0,662.0,633000.0,0,0,0,0,0,0,0,0
